Model_Name,Year,Km_Driven,Fuel_Type,Transmission,Ownership,Engine_CC,Seats,resale_price
5-Series 530i Sport Line,2018,32000,Petrol,Automatic,1,1998,5,4250000
Nexon EV XZ Plus,2020,48400,Electric,Automatic,1,,5,1550000
Safari 2.2 EX 4x2,2013,97000,Diesel,Manual,1,2179,7,375000
Seltos GTX Plus AT 1.4 [2019-2020],2021,16000,Petrol,Automatic,1,1353,5,1625000
Cayenne Platinum Edition Diesel,2016,55700,Diesel,Automatic,1,2967,5,5350000
X5 xDrive30d xLine,2017,80000,Diesel,Automatic,1,2993,5,4250000
Ecosport Trend 1.5 TDCi,2014,115000,Diesel,Manual,1,1498,5,480000
Grand i10 NIOS Magna 1.2 Kappa VTVT,2020,74000,Petrol,Manual,1,1197,5,590000
Elite i20 Sportz 1.4,2015,61000,Diesel,Manual,1,1396,5,561000
Corolla Altis 1.8 G,2014,104814,Petrol,Manual,1,1798,5,725000
Elantra 1.8 SX MT,2013,17000,Petrol,Manual,1,1797,5,645000
Q3 35 TDI Premium + Sunroof,2015,60000,Diesel,Automatic,2,1968,5,1695000
Swift Lxi (O) [2014-2017],2016,45000,Petrol,Manual,1,1197,5,450000
XUV500 W10,2016,75811,Diesel,Manual,1,2179,7,1375000
Thar AX 4-STR Convertible Petrol MT,2021,3813,Petrol,Manual,1,1997,4,1700000
Swift VXi [2014-2017],2016,64928,Petrol,Manual,1,1197,5,525000
DZire VDi,2018,68500,Diesel,Manual,1,1248,5,590000
Fortuner 3.0 4x2 AT,2014,85000,Diesel,Automatic,1,2982,7,1495000
5-Series 520d M Sport,2017,41296,Diesel,Automatic,1,1995,5,3300000
Amaze 1.5 SX i-DTEC,2013,72567,Diesel,Manual,1,1498,5,385000
Wagon R VXI+,2020,4295,Petrol,Manual,1,998,5,535000
Vitara Brezza ZDi Plus,2018,82000,Diesel,Manual,1,1248,5,875000
Swift DZire LXi,2010,33000,Petrol,Manual,1,1298,5,295000
Linea Emotion 1.4,2011,54000,Petrol,Manual,1,1368,5,235000
Creta SX 1.6 CRDi (O),2018,68000,Diesel,Manual,1,1582,5,969999
City ZX CVT Petrol,2022,8530,Petrol,Automatic,0,1498,5,1700000
Tucson GLS 2WD AT Petrol,2018,46000,Petrol,Automatic,1,1999,5,1789999
Innova 2.7 VX 7 STR [2016-2020],2020,26000,Petrol,Manual,1,2694,7,1964999
TT 2.0 TFSI Quattro,2014,39394,Petrol,Automatic,2,1984,2,4000000
Tiago Revotron XTA [2017-2019],2018,35000,Petrol,Automatic,1,1199,5,484999
Swift VXi [2014-2017],2019,17881,Petrol,Manual,1,1197,5,580000
City E [2013-2016],2014,48409,Petrol,Manual,2,1497,5,450000
Alto 800 Vxi (Airbag),2020,40000,Petrol,Manual,1,796,5,355000
Q3 35 TDI Premium + Sunroof,2017,61643,Diesel,Automatic,1,1968,5,2375000
C-Class Cabriolet C 300,2020,21000,Petrol,Automatic,2,1991,4,6500000
Nexon XZ Plus Dark Edition,2022,1500,Petrol,Manual,1,1199,5,1050000
Ecosport Ambiente 1.5L TDCi,2014,38985,Diesel,Manual,1,1498,5,445000
Jazz SV Petrol,2015,52000,Petrol,Manual,1,1199,5,495000
i10 Sportz 1.2 Kappa2,2011,42000,Petrol,Manual,1,1197,5,275000
Amaze 1.2 VX AT i-VTEC,2014,29442,Petrol,Automatic,1,1198,5,465000
Compass Limited (O) 2.0 Diesel [2017-2020],2017,71800,Diesel,Manual,1,1956,5,1050000
C-Class C 200 Progressive [2018-2020],2022,5000,Petrol,Automatic,1,1497,5,4900000
Grand i10 NIOS Sportz 1.2 Kappa VTVT CNG,2020,18000,CNG,Manual,1,1197,5,695000
Fortuner 2.8 4x2 AT [2016-2020],2018,37000,Diesel,Automatic,1,2755,7,3210000
City 1.5 S MT,2009,85000,Petrol,Manual,2,1497,5,269000
Xcent E Plus CRDi,2018,65555,Diesel,Manual,2,1186,5,445000
Evoque SE R-Dynamic,2021,35000,Diesel,Automatic,1,1999,5,5950000
X3 xDrive 20d Luxury Line [2018-2020],2018,87000,Diesel,Automatic,1,1995,5,3800000
Creta 1.6 SX Plus AT Petrol,2018,42000,Petrol,Automatic,1,1591,5,1000000
Scorpio S11 4WD 7 STR,2018,68000,Diesel,Manual,2,2179,7,1490000
Astor Sharp EX 1.5 MT,2022,600,Petrol,Manual,1,1498,5,1550000
Grande GX,2011,192326,Diesel,Manual,3,2179,7,199000
Innova 2.0 V,2013,82000,Petrol,Manual,0,1998,8,575000
Etios Liva VD Dual Tone,2017,86006,Diesel,Manual,1,1364,5,484999
City SV Diesel,2014,75000,Diesel,Manual,1,1498,5,425000
Scorpio S10,2014,99000,Diesel,Manual,1,2179,8,1150000
Superb L&K TSI AT,2021,21651,Petrol,Automatic,1,1798,5,3195000
i20 Active 1.4 SX,2016,84000,Diesel,Manual,1,1396,5,725000
M-Class ML 350 CDI,2014,65000,Diesel,Automatic,2,2997,5,2450000
Ciaz Zeta 1.4 AT,2017,31000,Petrol,Automatic,1,1373,5,741000
E-Class E 220d Exclusive [2019-2019],2022,17000,Diesel,Automatic,1,1950,5,7350000
Thar AX 6-STR Soft Top Diesel MT,2020,28000,Diesel,Manual,1,2184,6,1550000
City S Diesel,2015,64000,Diesel,Manual,1,1498,5,645000
City SV Diesel,2014,85000,Diesel,Manual,1,1498,5,550000
Baleno Alpha 1.2 AT,2017,35000,Petrol,Automatic,3,1197,5,595000
V40 Cross Country D3,2015,44000,Diesel,Automatic,1,1984,5,1595000
Celerio X Zxi AMT [2017-2019],2017,32000,Petrol,Automatic,2,998,5,500000
Wagon R LXI ABS,2016,49857,Petrol,Manual,1,998,5,345000
Wagon R VXI+,2013,46000,Petrol,Manual,1,998,5,299000
Wagon R LXi Minor,2008,50000,Petrol,Manual,2,1061,5,160000
Baleno Delta 1.2 AT,2017,36000,Petrol,Automatic,1,1197,5,570000
Kiger RXT Turbo CVT,2021,13000,Petrol,Automatic,1,999,5,800000
Wagon R VXi 1.0 [2019-2019],2018,40000,Petrol,Manual,1,,5,440000
E-Class 200 K Classic,2007,39000,Petrol,Automatic,3,,,509999
Eon 1.0 Kappa Magna + [2014-2016],2013,45000,Petrol,Manual,1,998,5,315000
Alto LXi BS-III,2011,87513,Petrol,Manual,2,796,5,227000
S-Class 350 L,2011,26000,Petrol,Automatic,1,3498,5,1850000
S-Presso VXi CNG,2022,3800,CNG,Manual,1,998,4,610000
Innova 2.4 VX 8 STR [2016-2020],2018,35123,Diesel,Manual,1,2393,8,1995000
Seltos GTX Plus AT 1.5 Diesel [2019-2020],2021,21000,Diesel,Automatic,1,1493,5,1875000
Creta SX (O) 1.5 Petrol CVT [2020-2022],2022,2670,Petrol,Automatic,1,1497,5,1748999
Rapid Ambition 1.6 TDI CR MT,2016,124000,Diesel,Manual,1,1598,5,640000
Elite i20 Asta 1.2 (O) [2016],2016,9889,Petrol,Manual,1,1197,5,779000
City ZX CVT Petrol,2021,13000,Petrol,Automatic,1,1497,5,1450000
Nexon XZA Plus Petrol,2018,35000,Petrol,Automatic,1,1198,5,890000
Baleno Zeta 1.2,2017,51145,Petrol,Manual,1,1197,5,625000
GLS 350 d,2019,13000,Diesel,Automatic,1,2987,7,8500000
RS5 4.2 Coupe,2011,56000,Petrol,Automatic,3,4163,5,2900000
Innova 2.5 G 8 STR BS-III,2010,120000,Diesel,Manual,1,,,434999
GLC 220 d Progressive,2018,45000,Diesel,Automatic,1,2143,5,4550000
Superb L&K TDI AT,2017,82900,Diesel,Automatic,1,1968,5,2500000
Alto 800 Lxi CNG,2014,56843,CNG + CNG,Manual,2,796,5,249000
Figo Duratec Petrol Titanium 1.2,2015,64000,Petrol,Manual,1,1196,5,270000
DZire VXi AMT,2019,9644,Petrol,Automatic,1,1197,5,825000
Celerio ZXi (O) AMT [2019-2020],2017,41624,Petrol,Automatic,2,998,5,425000
Grand i10 Sportz U2 1.2 CRDi,2016,82844,Diesel,Manual,1,1186,5,459999
E-Class E250 Elegance,2011,78000,Petrol,Automatic,2,2497,5,980000
Duster RXL Petrol,2017,60444,Petrol,Manual,1,1498,5,789000
3-Series 330i M Sport Edition,2022,6000,Petrol,Automatic,1,1998,5,5100000
Scorpio S10,2014,125000,Diesel,Manual,1,2179,8,775000
Creta 1.6 SX Plus AT Petrol,2019,13000,Petrol,Automatic,1,1591,5,1400000
Ertiga VDi,2015,112000,Diesel,Manual,1,1248,7,770000
Ritz Vdi BS-IV,2012,54948,Diesel,Manual,1,1248,5,445000
Grand i10 Magna 1.2 Kappa VTVT [2017-2020],2016,53300,Petrol,Manual,1,1197,5,450000
City SV,2019,34000,Petrol,Manual,1,1497,5,840000
S-Class Maybach S 560,2021,21000,Petrol,Automatic,1,3982,4,18500000
Evoque HSE Dynamic,2017,25500,Diesel,Automatic,2,1999,5,4000000
XUV500 W8 1.99 [2016-2017],2015,157662,Diesel,Manual,2,1997,7,690000
CLA 200 D Urban Sport,2018,20000,Diesel,Automatic,1,2143,5,2800000
Xcent SX 1.1 CRDi,2018,78900,Diesel,Manual,1,1120,5,525000
Wagon R LXi CNG,2011,52000,CNG,Manual,1,998,5,285000
E-Class E 220d Exclusive [2019-2019],2022,11000,Diesel,Automatic,1,1950,5,7780000
Kodiaq Style 2.0 TDI 4x4 AT,2018,103000,Diesel,Automatic,1,,7,1989999
Hexa XTA 4x2 7 STR,2017,95785,Diesel,Automatic,1,2179,7,1200000
Ecosport Titanium 1.5L TDCi,2017,92000,Diesel,Manual,1,1498,5,620000
F-Pace Prestige,2019,43000,Diesel,Automatic,1,1999,5,5200000
CLA 200 CDI Sport,2017,39328,Diesel,Automatic,1,2143,5,1998999
Innova 2.4 ZX AT 7 STR,2020,18625,Diesel,Automatic,1,2393,7,2725000
Swift VXi [2014-2017],2019,26000,Petrol,Manual,1,1197,5,590000
Countryman Cooper D,2014,81000,Diesel,Automatic,2,1995,5,1489000
DZire ZDi Plus AMT,2018,92000,Diesel,Automatic,1,1248,5,685000
Scorpio S3 2WD 7 STR,2019,38000,Diesel,Manual,1,2523,7,1121000
Manza Aqua Safire BS-IV,2012,93000,Petrol,Manual,2,1368,5,114999
Wagon R VXI,2019,10340,Petrol,Manual,1,998,5,545000
Q3 2.0 TDI quattro Premium,2015,47706,Diesel,Automatic,1,1968,5,1350000
XL6 Alpha MT Petrol,2021,13400,Petrol,Manual,1,1462,6,1299000
Aspire Titanium1.5 TDCi,2016,44613,Diesel,Manual,1,1498,5,450000
718 Cayman [2017-2020],2017,7000,Petrol,Automatic,1,1988,2,9000000
Swift VXi [2014-2017],2019,29000,Petrol,Manual,1,1197,5,550000
3-Series 320d Luxury Line,2020,23000,Diesel,Automatic,1,1995,5,4390000
Wagon R LXI CNG (O),2015,67580,CNG,Manual,1,998,5,445000
Verna 1.6 VTVT S,2015,42000,Petrol,Manual,1,1591,5,495000
Eon 1.0 Kappa Magna AirBag,2015,16205,Petrol,Manual,1,998,5,360000
Grand Vitara 2015 2.0 AT,2007,92000,Petrol,Automatic,3,1995,5,345000
Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],2016,29000,Petrol,Automatic,1,1197,5,565000
GLE 300d 4MATIC LWB,2022,14000,Diesel,Automatic,1,1950,5,9390000
TUV300 T8 AMT mHAWK100,2017,69000,Diesel,Automatic,1,1493,7,615000
City V Diesel,2015,114635,Diesel,Manual,1,1498,5,525000
X1 sDrive20d xLine,2018,50000,Diesel,Automatic,2,1995,5,2650000
X1 sDrive20d xLine,2019,29221,Diesel,Automatic,1,1995,5,3785000
S-Class 300,2012,158000,Petrol,Automatic,1,,,1500000
A6 2.0 TDI Premium,2012,77000,Diesel,Automatic,2,1968,5,1175000
GLC 220d 4MATIC Progressive,2022,5500,Diesel,Automatic,0,1950,5,6400000
3-Series 320d Sport Line,2013,70000,Diesel,Automatic,2,1995,5,1450000
X5 xDrive 30d M Sport,2017,65341,Diesel,Automatic,2,2993,5,4900000
City VX CVT Petrol,2022,32000,Petrol,Automatic,1,1498,5,1390000
488 GTB,2018,9500,Petrol,Automatic,1,3902,2,35000000
Tiguan Highline TDI,2020,17904,Diesel,Automatic,1,1968,5,2990000
Evoque Pure SD4,2012,95000,Diesel,Automatic,1,2179,5,2150000
Wagon R LXi CNG,2013,72000,CNG,Manual,1,998,5,315000
Zen LXi BS-II,2004,65082,Petrol,Manual,1,,,71001
Brio S MT,2012,66240,Petrol,Manual,3,,,295000
GLE 43 4MATIC [2017-2019],2018,25275,Petrol,Automatic,1,2996,5,8500000
Wagon R LXI CNG,2016,67850,CNG,Manual,1,998,5,400000
Nano Base,2010,60000,Petrol,Manual,1,624,4,49000
Bolero SLX 2WD,2012,88500,Diesel,Manual,2,,,379000
Swift VDi,2017,105000,Diesel,Manual,1,1248,5,610000
Creta SX 1.6 AT Petrol,2019,45000,Petrol,Automatic,1,1591,5,1075000
E-Class E 220 d Avantgarde,2021,8000,Diesel,Automatic,1,1950,5,7500000
Corolla Altis G AT Petrol,2018,38000,Petrol,Automatic,1,1798,5,1321000
S-Cross Zeta 1.3,2020,55055,Diesel,Manual,1,1248,5,950000
Baleno Zeta 1.2,2021,22000,Petrol,Manual,1,1197,5,825000
Pajero 2.5 MT,2013,95000,Diesel,Manual,2,2477,7,1300000
Swift ZXi,2014,25704,Petrol,Manual,1,1197,5,465000
Swift DZire VDI,2016,55353,Diesel,Manual,2,1248,5,475000
Q3 35 TDI Premium,2015,80000,Diesel,Automatic,1,1968,5,1775000
Vento Highline Plus 1.2 (P) AT 16 Alloy,2018,62000,Petrol,Automatic,1,1197,5,825000
Endeavour Titanium 3.2 4x4 AT,2019,41526,Diesel,Automatic,1,3198,7,3450000
Tiago Revotron XT [2016-2019],2018,29434,Petrol,Manual,2,1047,5,379000
Go D,2017,42000,Petrol,Manual,1,1198,5,240000
Seltos HTK Plus 1.5 [2019-2020],2021,14000,Petrol,Manual,1,1497,5,1525000
3-Series 320d Sport Line,2014,35000,Diesel,Automatic,1,1995,5,1400000
C-Class C 250 CDI BlueEFFICIENCY,2012,75000,Diesel,Automatic,2,,,1044999
Huracan LP 610-4,2016,6000,Petrol,Automatic,1,5204,2,24000000
GLA 200 d Sport,2018,61000,Diesel,Automatic,2,2143,5,2450000
GLA 200 CDI Sport,2015,45000,Diesel,Automatic,1,2143,5,1789999
C-Class C 220d Progressive [2018-2019],2019,31000,Diesel,Automatic,1,1950,5,4275000
Elite i20 Sportz 1.2 MT,2020,39000,Petrol,Manual,1,1197,5,775000
Estilo VXi BS-IV,2012,52000,Petrol,Manual,1,998,5,229999
Wagon R LXi CNG,2011,54000,CNG,Manual,1,998,5,280000
Eon Era +,2018,51000,Petrol,Manual,1,814,5,300000
Alto VXi (O) [2014-2019],2011,72000,Petrol,Manual,1,998,5,160000
Alto LXi BS-III,2011,65000,Petrol,Manual,1,796,5,150000
GLE 300d 4MATIC LWB,2020,50000,Diesel,Automatic,1,1950,5,8300000
Q3 35 TDI Premium + Sunroof,2016,80251,Diesel,Automatic,2,1968,5,1685000
i10 Sportz 1.2,2010,86000,Petrol,Manual,2,1197,5,270000
Alto 800 Lxi,2014,42505,Petrol,Manual,1,796,5,210000
Elite i20 Asta 1.2,2017,42000,Petrol,Manual,1,1197,5,625000
7-Series 730Ld M Sport,2017,42200,Diesel,Automatic,1,2993,4,6900000
Seltos GTX Plus AT 1.4 [2019-2020],2019,57600,Petrol,Automatic,1,1353,5,1490000
XUV500 W7 [2018-2020],2018,57000,Diesel,Manual,1,2179,7,1095000
Endeavour 3.0L 4x4 AT,2014,85000,Diesel,Automatic,1,2953,7,850000
Tucson 2WD AT GLS Diesel,2016,128000,Diesel,Automatic,2,1995,5,1600000
Etios V,2011,66000,Petrol,Manual,1,1496,5,265000
Vento Comfortline Petrol,2013,58000,Petrol,Manual,1,1598,5,360000
Ritz Vdi BS-IV,2012,89445,Diesel,Manual,1,1248,5,350000
Fortuner 3.0 4x2 MT,2015,64120,Diesel,Manual,2,2982,7,1485000
Ciaz Alpha 1.4 MT,2017,82300,Petrol,Manual,1,1373,5,800000
Vitara Brezza VDi,2017,73000,Diesel,Manual,1,1248,5,710000
S-Cross Alpha 1.6,2018,72000,Diesel,Manual,1,1598,5,710000
Polo Highline1.0L (P),2018,50197,Petrol,Manual,1,999,5,720000
Amaze 1.2 S i-VTEC,2014,44527,Petrol,Manual,1,1198,5,395000
A4 35 TDI Technology,2017,72400,Diesel,Automatic,1,1968,5,2799000
Ecosport Trend 1.5 Ti-VCT,2014,50000,Petrol,Manual,2,1499,5,455000
City VX (O) MT,2014,37000,Petrol,Manual,1,1497,5,690000
GLS 400d 4MATIC,2021,20000,Diesel,Automatic,1,2925,7,13000000
Harrier XZA Plus Dark Edition,2020,8000,Diesel,Automatic,1,1956,5,1995000
5-Series 520d Luxury Line,2014,69000,Diesel,Automatic,2,1995,5,1750000
X1 sDrive20d xLine,2019,25000,Diesel,Automatic,1,1995,5,2900000
X1 sDrive20d xLine,2022,17000,Diesel,Automatic,1,1995,5,4500000
City 1.5 S MT,2013,61000,Petrol,Manual,1,1497,5,450000
5-Series 520d Luxury Line [2017-2019],2015,69000,Diesel,Automatic,1,1995,5,2149000
GL-Class 350 CDI,2015,77000,Diesel,Automatic,2,2987,7,4200000
Nexon XT Diesel [2017-2019],2018,82200,Diesel,Manual,1,1497,5,860000
City V,2018,28000,Petrol,Manual,1,1497,5,875000
Scorpio VLX 4WD BS-III,2011,117000,Diesel,Manual,2,2179,7,580000
Gloster Savvy 6 STR 2.0 Twin Turbo 4WD,2021,7900,Diesel,Automatic,1,1996,6,3500000
Swift DZire VXi,2010,72000,Petrol,Manual,1,1298,5,229999
Q3 2.0 TDI quattro Premium Plus,2015,79000,Diesel,Automatic,2,1968,5,1513000
Alto VXi,2013,72600,Petrol,Manual,1,998,5,234000
Redigo S 1.0 AMT [2018-2019],2018,42313,Petrol,Automatic,2,999,5,320000
X3 xDrive 20d Luxury Line [2018-2020],2021,18000,Diesel,Automatic,1,1995,5,5975000
Vitara Brezza ZDi Plus,2019,90000,Diesel,Manual,1,1248,5,1025000
Alto LXi BS-III,2010,18500,Petrol,Manual,1,796,5,169000
DZire VDi,2017,36000,Diesel,Manual,1,1248,5,630000
Venue SX Plus 1.0 Turbo DCT,2020,26200,Petrol,Automatic,1,998,5,1090000
Swift LXi Special Edition,2019,11000,Petrol,Manual,2,1197,5,700000
Swift VXi,2021,14366,Petrol,Manual,1,1197,5,661000
Grande GX,2011,98000,Diesel,Manual,1,2179,7,250999
TUV300 T8,2017,65000,Diesel,Manual,2,1493,7,565000
Innova 2.5 G 7 STR BS-IV,2014,126000,Diesel,Manual,1,2494,7,750000
Q3 35 TDI Premium + Sunroof,2015,71700,Diesel,Automatic,2,1968,5,1850000
XUV500 W6,2016,114000,Diesel,Manual,1,2179,7,850000
Elite i20 Asta 1.4 CRDI [2016-2017],2016,58339,Diesel,Manual,1,1396,5,535000
Vento Highline Petrol AT,2011,50667,Petrol,Automatic,2,,,345000
DZire VDi AMT,2019,72040,Diesel,Automatic,1,1248,5,770000
3-Series 330i M Sport Edition,2019,6000,Petrol,Automatic,1,1998,5,3650000
Sonet GTX Plus 1.0 iMT [2020-2021],2022,6200,Petrol,Manual,1,998,5,1195000
S-Class 500L,2012,44000,Petrol,Automatic,3,5461,5,1650000
Superb L&K TSI AT,2021,6900,Petrol,Automatic,1,1798,5,3199000
E-Class E 200 Exclusive [2019-2019],2022,2500,Petrol,Automatic,1,1991,5,7100000
Polo GT TSI,2016,68000,Petrol,Automatic,1,1197,5,625000
Vitara Brezza VDi,2018,36000,Diesel,Manual,1,1248,5,745000
Santro Sportz,2021,19000,Petrol,Manual,1,1086,5,551000
E-Class E 220 d Avantgarde,2019,10000,Diesel,Automatic,1,1950,5,5950000
Range Rover 3.0 V6 Diesel Vogue,2019,35000,Diesel,Automatic,1,2993,5,22000000
Cooper D 3 Door,2019,6400,Diesel,Automatic,1,1496,5,3300000
Endeavour Titanium Plus 3.2 4x4 AT,2019,34000,Diesel,Automatic,1,3198,7,3250000
Duster 110 PS RXZ 4X2 AMT Diesel,2016,35000,Diesel,Automatic,2,1461,5,690000
Vitara Brezza VDi AGS,2019,46000,Diesel,Automatic,1,1248,5,894999
Rapid Ambition 1.6 TDI CR MT,2016,83000,Diesel,Manual,1,1598,5,550000
Ecosport Trend 1.5 TDCi,2013,54000,Diesel,Manual,3,1498,5,399000
Seltos HTX 1.5 [2020-2021],2020,42000,Petrol,Manual,1,1497,5,1275000
Eeco 5 STR WITH A/C+HTR [2019-2020],2020,41441,Petrol,Manual,1,1196,5,535000
Vitara Brezza VDi,2018,48174,Diesel,Manual,1,1248,5,825000
Ecosport Ambiente 1.5L TDCi,2016,62591,Diesel,Manual,1,1498,5,585000
Jazz V AT Petrol,2017,48650,Petrol,Automatic,1,1199,5,675000
S-Cross Alpha 1.3,2017,52245,Diesel,Manual,1,1248,5,795000
E-Class E 200 Exclusive [2019-2019],2021,7500,Petrol,Automatic,1,1991,5,6500000
Elite i20 Sportz 1.4 CRDI,2017,65000,Diesel,Manual,1,1396,5,611000
Wagon R VXI,2015,43297,Petrol,Manual,1,998,5,390000
Swift VXi [2014-2017],2019,44710,Petrol,Manual,1,1197,5,650000
Fluence 1.5 E4,2013,62000,Diesel,Manual,1,1461,5,390000
A4 35 TDI Technology,2017,59267,Diesel,Automatic,1,1968,5,2400000
Swift VXi,2011,69000,Petrol,Manual,1,1197,5,385000
Swift DZire VXI,2017,75000,Petrol,Manual,1,1197,5,450000
Grand i10 Sports Edition 1.2L Kappa VTVT,2020,52236,Petrol,Manual,1,1197,5,649000
Kodiaq L&K 2.0 TDI 4x4 AT,2020,47000,Diesel,Automatic,1,,7,3499000
A3 35 TDI Premium + Sunroof,2019,15530,Diesel,Automatic,1,1968,5,2900000
Swift DZire VDI,2014,64000,Diesel,Manual,1,1248,5,400000
Grand i10 NIOS Sportz AMT 1.2 Kappa VTVT,2020,35000,Petrol,Automatic,1,1197,5,599000
Fortuner 2.8 4x2 MT [2016-2020],2019,92000,Diesel,Manual,1,2755,7,2980000
A4 30 TFSI Technology Pack,2018,18000,Petrol,Automatic,1,1395,5,3500000
Jazz V Petrol,2016,50000,Petrol,Manual,1,1199,5,400000
GLC 200 Progressive,2022,2000,Petrol,Automatic,1,1991,5,6975000
A4 2.0 TDI Sline,2013,72000,Diesel,Automatic,1,,,745000
GLE 250 d,2016,16000,Diesel,Automatic,1,2143,5,5400000
GL-Class 350 CDI,2015,103890,Diesel,Automatic,2,2987,7,3700000
Celerio ZXi [2017-2019],2018,71000,Petrol,Manual,1,998,5,445000
Thar LX 4-STR Hard Top Diesel MT,2021,12000,Diesel,Manual,1,2184,4,1475000
Fortuner 2.8 4x2 AT [2016-2020],2016,93000,Diesel,Automatic,1,2755,7,2800000
Eon Magna [2011-2012],2013,63000,Petrol,Manual,2,814,5,190000
Swift VXi [2014-2017],2020,10000,Petrol,Manual,1,1197,5,600000
Seltos GTX Plus AT 1.5 Diesel [2019-2020],2020,33828,Diesel,Automatic,1,1493,5,1835000
Wagon R LXi 1.0 CNG [2019-2020],2019,48000,CNG,Manual,1,998,5,550000
Vitara Brezza ZDi+ Dual Tone [2017-2018],2017,71000,Diesel,Manual,1,1248,5,715000
XUV700 AX 7 Diesel AT 7 STR,2022,18000,Diesel,Automatic,1,2184,7,2540000
Wagon R LXi (O) 1.0 CNG [2019-2020],2019,50000,CNG,Manual,1,998,5,525000
Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],2015,48000,Petrol,Manual,1,1197,5,425000
Elite i20 Sportz 1.2 IVT,2022,4000,Petrol,Automatic,1,1197,5,795000
City 1.5 V MT,2010,73000,Petrol,Manual,2,1497,5,269000
Fortuner 4x2 AT,2013,170669,Diesel,Automatic,1,2982,7,1450000
Verna Fluidic 1.6 CRDi,2014,68000,Diesel,Manual,1,1582,5,565000
5-Series 520d Luxury Line,2015,70000,Diesel,Automatic,2,1995,5,2550000
i20 Active 1.2 S,2015,57654,Petrol,Manual,1,1197,5,529000
Alto VXi (O),2019,22000,Petrol,Manual,1,998,5,400000
Vento Trendline Diesel,2012,80000,Diesel,Manual,2,,,360000
XL6 Zeta MT Petrol,2019,41792,Petrol,Manual,1,1462,6,975000
X1 sDrive20d Expedition,2017,41000,Diesel,Automatic,1,1995,5,2600000
GL-Class 350 CDI,2013,107021,Diesel,Automatic,2,2987,7,2390000
Seltos GTX Plus 1.4 [2020-2021],2019,17000,Petrol,Manual,1,1353,5,1550000
Alto VXi AMT,2019,57993,Petrol,Automatic,1,998,5,430000
Tigor EV XZ Plus,2021,18000,Electric,Automatic,1,,5,1275000
Baleno Delta 1.2,2018,32000,Petrol,Manual,1,1197,5,600000
Corolla Altis VL AT Petrol,2018,25914,Petrol,Automatic,1,1798,5,1650000
XF 3.0 V6 Premium Luxury,2014,49235,Diesel,Automatic,1,,,3350000
Q7 Technology 55 TFSI,2022,4500,Petrol,Automatic,1,2995,7,9400000
Alto VXi,2014,114000,Petrol,Manual,2,998,5,250000
XUV500 W10 AT,2016,105000,Diesel,Automatic,2,2179,7,994999
Vitara Brezza LDi (O) [2016-2018],2016,45000,Diesel,Manual,1,1248,5,675000
Swift DZire VXI,2014,30183,Petrol,Manual,1,1197,5,455000
Polo Comfortline 1.2L (D),2012,78000,Diesel,Manual,3,,,375000
Wagon R VXI,2016,73190,Petrol,Manual,2,998,5,345000
X1 sDrive20i xLine,2022,13120,Petrol,Automatic,1,1998,5,4700000
Elantra 1.8 SX MT,2014,64000,Petrol,Manual,1,1797,5,700000
City E Diesel,2014,140000,Diesel,Manual,1,1498,5,499000
Ciaz VXi,2015,39000,Petrol,Manual,1,1373,5,590000
Micra XV CVT [2016-2017],2014,56918,Petrol,Automatic,2,1198,5,490000
DZire VDi AMT,2018,55000,Diesel,Automatic,1,1248,5,695000
Venue SX 1.4 CRDi,2019,42000,Diesel,Manual,1,1396,5,1025000
Tiguan AllSpace 2.0 TSI,2021,25000,Petrol,Automatic,1,1984,7,3375000
Innova 2.4 VX 8 STR [2016-2020],2019,28000,Diesel,Manual,1,2393,8,2250000
GLA 200 d Sport,2018,43000,Diesel,Automatic,2,2143,5,2650000
Baleno Delta 1.2,2021,16000,Petrol,Manual,1,1197,5,715000
Creta SX 1.6 AT CRDi,2019,27657,Diesel,Automatic,2,1582,5,1200000
Eon 1.0 Kappa Magna + [2014-2016],2012,30000,Petrol,Manual,1,998,5,275000
City 1.5 V MT,2012,111000,Petrol,Manual,1,1497,5,445000
A-Class A 200d,2016,37600,Diesel,Automatic,1,2143,4,1850000
Baleno Alpha 1.3,2017,48000,Diesel,Manual,1,1248,5,665000
Creta EX 1.4 CRDi,2019,37000,Diesel,Manual,1,1396,5,1090000
S-Class S 350 CDI,2015,54000,Diesel,Automatic,1,2987,5,5500000
A6 35 TDI Matrix,2017,81802,Diesel,Automatic,2,1968,5,2400000
Verna SX Plus 1.6 CRDi AT,2018,45915,Diesel,Automatic,1,1582,5,1085000
Alcazar Signature (O) 6 STR 2.0 Petrol AT,2021,24000,Petrol,Automatic,1,1999,6,2140000
Amaze 1.2 V CVT Petrol [2018-2020],2019,22224,Petrol,Automatic,1,1199,5,795000
Ertiga VXI CNG,2021,38000,CNG,Manual,1,1373,7,1080000
Amaze 1.2 S MT Petrol [2018-2020],2018,53848,Petrol,Manual,1,1199,5,628000
3-Series 320d Luxury Line,2013,104264,Diesel,Automatic,2,1995,5,1550000
E-Class E 200,2016,61159,Petrol,Automatic,2,1991,5,2400000
City VX (O) MT,2015,72000,Petrol,Manual,1,1497,5,595000
Evoque SE,2016,29000,Diesel,Automatic,1,2179,5,3450000
WR-V VX MT Petrol,2018,42000,Petrol,Manual,1,1199,5,819999
